fromNode	toNode	weight	direction	fromAltName	toAltName
A0A0A0MRZ8	B0I1T2	0.0317840936104726	undirected	NA	NA
A0A0A0MRZ8	O14618	0.0255320864315608	undirected	NA	NA
A0A0A0MRZ8	O15031	0.039557473458351	undirected	NA	NA
A0A0A0MRZ8	O43150	0.0381028913186034	undirected	NA	NA
A0A0A0MRZ8	O43707	0.0489055706589692	undirected	NA	NA
A0A0A0MRZ8	O60229	0.0326767733200274	undirected	NA	NA
A0A0A0MRZ8	O60763	0.0328712647522876	undirected	NA	NA
A0A0A0MRZ8	O75116	0.0316483380404451	undirected	NA	NA
A0A0A0MRZ8	O75390	0.039409946848165	undirected	NA	NA
A0A0A0MRZ8	O75558	0.023870815606199	undirected	NA	NA
A0A0A0MRZ8	O95834	0.0497405150615765	undirected	NA	NA
A0A0A0MRZ8	O95858	0.0310023996509705	undirected	NA	NA
A0A0A0MRZ8	O95989	0.0434465125486879	undirected	NA	NA
A0A0A0MRZ8	P00387	0.0291702244409558	undirected	NA	NA
A0A0A0MRZ8	P00491	0.0252055084878041	undirected	NA	NA
A0A0A0MRZ8	P00558	0.304292710934073	undirected	NA	NA
A0A0A0MRZ8	P01834	0.106705107896504	undirected	NA	NA
A0A0A0MRZ8	P01860	0.0226387130454682	undirected	NA	NA
A0A0A0MRZ8	P02748	0.0291885237044651	undirected	NA	NA
A0A0A0MRZ8	P02751	0.0299519297791343	undirected	NA	NA
A0A0A0MRZ8	P04406	0.329896983235215	undirected	NA	NA
A0A0A0MRZ8	P04439	0.0378386137145628	undirected	NA	NA
A0A0A0MRZ8	P04632	0.0237227456760639	undirected	NA	NA
A0A0A0MRZ8	P05106	0.0267569523376647	undirected	NA	NA
A0A0A0MRZ8	P06703	0.0284114214752191	undirected	NA	NA
A0A0A0MRZ8	P06733	0.338339440578915	undirected	NA	NA
A0A0A0MRZ8	P06737	0.0477553453566905	undirected	NA	NA
A0A0A0MRZ8	P06756	0.0284432444633749	undirected	NA	NA
A0A0A0MRZ8	P07237	0.0388245532923984	undirected	NA	NA
A0A0A0MRZ8	P07359	0.0218475384390117	undirected	NA	NA
A0A0A0MRZ8	P07741	0.0577126055761429	undirected	NA	NA
A0A0A0MRZ8	P08134	0.0256093553668152	undirected	NA	NA
A0A0A0MRZ8	P08238	0.0308774422741737	undirected	NA	NA
A0A0A0MRZ8	P08514	0.0272052757377254	undirected	NA	NA
A0A0A0MRZ8	P08758	0.025862304340565	undirected	NA	NA
A0A0A0MRZ8	P09104	0.056466519270353	undirected	NA	NA
A0A0A0MRZ8	P10768	0.0597622497899833	undirected	NA	NA
A0A0A0MRZ8	P11586	0.0546800181358325	undirected	NA	NA
A0A0A0MRZ8	P12955	0.031596663606911	undirected	NA	NA
A0A0A0MRZ8	P13224	0.0232787536525454	undirected	NA	NA
A0A0A0MRZ8	P13716	0.0261787865042431	undirected	NA	NA
A0A0A0MRZ8	P14324	0.0201391261301074	undirected	NA	NA
A0A0A0MRZ8	P14618	0.0922062889563197	undirected	NA	NA
A0A0A0MRZ8	P14770	0.0333021987643114	undirected	NA	NA
A0A0A0MRZ8	P16930	0.0496660452706453	undirected	NA	NA
A0A0A0MRZ8	P17858	0.0269167175027447	undirected	NA	NA
A0A0A0MRZ8	P18669	0.0443709798937146	undirected	NA	NA
A0A0A0MRZ8	P21333	0.0549893022893868	undirected	NA	NA
A0A0A0MRZ8	P22314	0.0430231210317021	undirected	NA	NA
A0A0A0MRZ8	P22694	0.0200455049450395	undirected	NA	NA
A0A0A0MRZ8	P23528	0.0545684116557443	undirected	NA	NA
A0A0A0MRZ8	P28482	0.047923019346085	undirected	NA	NA
A0A0A0MRZ8	P29144	0.0306550621024326	undirected	NA	NA
A0A0A0MRZ8	P29218	0.0327733058506723	undirected	NA	NA
