nodeName	altName	nodeAttr[nodesPresent, ]
A0A075B6K4	NA	turquoise
A0A0B4J1Y9	NA	turquoise
A0A0B4J2D9
P0DP09	NA	turquoise
A0A0C4DH67	NA	turquoise
A0M8Q6	NA	blue
A2NJV5	NA	blue
A6ND91	NA	turquoise
A6NEC2	NA	blue
B0I1T2	NA	blue
B2RUZ4	NA	turquoise
O00161	NA	turquoise
O00186	NA	turquoise
O00264	NA	turquoise
O00501	NA	turquoise
O00592	NA	turquoise
O14618	NA	blue
O14672	NA	turquoise
O14745	NA	turquoise
O14775	NA	blue
O14817	NA	turquoise
O14818	NA	turquoise
O14964	NA	turquoise
O15031	NA	blue
O15117	NA	turquoise
O15173	NA	turquoise
O15400	NA	turquoise
O15427	NA	blue
O15439	NA	blue
O15551	NA	turquoise
O43150	NA	blue
O43312	NA	turquoise
O43493	NA	turquoise
O43561	NA	turquoise
O43633	NA	turquoise
O43639	NA	turquoise
O43665	NA	turquoise
O43707	NA	blue
O60229	NA	blue
O60493	NA	turquoise
O60496	NA	turquoise
O60669	NA	turquoise
O75015	NA	turquoise
O75131	NA	turquoise
O75326	NA	turquoise
O75368	NA	blue
O75390	NA	blue
O75410	NA	turquoise
O75608	NA	blue
O75636	NA	blue
O75695	NA	turquoise
O75874	NA	blue
O75915	NA	blue
O75954	NA	blue
O75955	NA	turquoise
O94886	NA	turquoise
O94919	NA	blue
O95379	NA	blue
O95498	NA	turquoise
O95674	NA	blue
O95721	NA	turquoise
O95772	NA	turquoise
O95816	NA	turquoise
O95834	NA	blue
O95858	NA	blue
O95865	NA	blue
O95866	NA	blue
O95989	NA	blue
P00387	NA	blue
P00390	NA	blue
P00491	NA	blue
P01011	NA	blue
P01024	NA	blue
P01040	NA	turquoise
P01111	NA	turquoise
P01116	NA	blue
P01700	NA	blue
P01717	NA	blue
P01782	NA	turquoise
P01861	NA	blue
P01893	NA	blue
P02042	NA	turquoise
P02452	NA	turquoise
P02458	NA	turquoise
P02462	NA	turquoise
P02533	NA	turquoise
P02730	NA	turquoise
P02746	NA	blue
P02748	NA	blue
P02786	NA	turquoise
P04040	NA	blue
P04179	NA	blue
P04234	NA	turquoise
P04839	NA	turquoise
P04843	NA	turquoise
P04921	NA	turquoise
P05023	NA	blue
P05107	NA	turquoise
P05109	NA	turquoise
P05452	NA	blue
P06127	NA	turquoise
P06239	NA	turquoise
P06241	NA	blue
P06331	NA	turquoise
P06454	NA	turquoise
P06576	NA	turquoise
P06703	NA	blue
P06729	NA	blue
P06756	NA	blue
P07339	NA	turquoise
P07355	NA	turquoise
P07360	NA	blue
P07741	NA	blue
P07766	NA	turquoise
P07948	NA	turquoise
P08133	NA	turquoise
P08174	NA	turquoise
P08195	NA	blue
P08572	NA	turquoise
P08575	NA	turquoise
P08648	NA	blue
P08754	NA	turquoise
P08962	NA	turquoise
P09326	NA	turquoise
P09429	NA	turquoise
P09493	NA	blue
P09496	NA	turquoise
P09543	NA	turquoise
P09972	NA	blue
P0CG38	NA	blue
P0DMN0
P0DMM9	NA	blue
P0DOX3	NA	blue
P0DOX6	NA	blue
P0DP25
P0DP24
P0DP23	NA	blue
P10124	NA	turquoise
P10301	NA	turquoise
P10599	NA	turquoise
P10619	NA	turquoise
P10644	NA	blue
P10768	NA	blue
P11166	NA	turquoise
P11215	NA	turquoise
P11233	NA	turquoise
P11279	NA	turquoise
P11586	NA	blue
P11597	NA	turquoise
P11766	NA	blue
P12273	NA	turquoise
P12318	NA	turquoise
P12955	NA	blue
P13473	NA	blue
P13489	NA	turquoise
P13498	NA	turquoise
P13598	NA	blue
P13611	NA	turquoise
P13612	NA	turquoise
P13693	NA	turquoise
P13716	NA	blue
P13796	NA	turquoise
P13798	NA	blue
P13987	NA	turquoise
P14151	NA	turquoise
P14174	NA	blue
P14209	NA	turquoise
P14324	NA	blue
P14923	NA	turquoise
P15144	NA	turquoise
P15170	NA	turquoise
P15311	NA	turquoise
P15498	NA	blue
P15924	NA	turquoise
P16070	NA	turquoise
P16109	NA	blue
P16150	NA	turquoise
P16157	NA	turquoise
P16401	NA	turquoise
P16402	NA	turquoise
P16452	NA	turquoise
P16615	NA	blue
P16930	NA	blue
P17213	NA	turquoise
P17252	NA	blue
P17301	NA	turquoise
P17858	NA	blue
P17927	NA	turquoise
P18031	NA	blue
P18054	NA	blue
P18085	NA	turquoise
P18206	NA	blue
P18433	NA	turquoise
P18669	NA	blue
P19086	NA	turquoise
