nodeName	altName	nodeAttr[nodesPresent, ]
A0M8Q6	NA	blue
A2NJV5	NA	blue
A6NEC2	NA	blue
B0I1T2	NA	blue
O14618	NA	blue
O14775	NA	blue
O15031	NA	blue
O15427	NA	blue
O15439	NA	blue
O43150	NA	blue
O43707	NA	blue
O60229	NA	blue
O75368	NA	blue
O75390	NA	blue
O75608	NA	blue
O75636	NA	blue
O75874	NA	blue
O75915	NA	blue
O75954	NA	blue
O94919	NA	blue
O95379	NA	blue
O95674	NA	blue
O95834	NA	blue
O95858	NA	blue
O95865	NA	blue
O95866	NA	blue
O95989	NA	blue
P00387	NA	blue
P00390	NA	blue
P00491	NA	blue
P01011	NA	blue
P01024	NA	blue
P01116	NA	blue
P01700	NA	blue
P01717	NA	blue
P01861	NA	blue
P01893	NA	blue
P02746	NA	blue
P02748	NA	blue
P04040	NA	blue
P04179	NA	blue
P05023	NA	blue
P05452	NA	blue
P06241	NA	blue
P06703	NA	blue
P06729	NA	blue
P06756	NA	blue
P07360	NA	blue
P07741	NA	blue
P08195	NA	blue
P08648	NA	blue
P09493	NA	blue
P09972	NA	blue
P0CG38	NA	blue
P0DMN0
P0DMM9	NA	blue
P0DOX3	NA	blue
P0DOX6	NA	blue
P0DP25
P0DP24
P0DP23	NA	blue
P10644	NA	blue
P10768	NA	blue
P11586	NA	blue
P11766	NA	blue
P12955	NA	blue
P13473	NA	blue
P13598	NA	blue
P13716	NA	blue
P13798	NA	blue
P14174	NA	blue
P14324	NA	blue
P15498	NA	blue
P16109	NA	blue
P16615	NA	blue
P16930	NA	blue
P17252	NA	blue
P17858	NA	blue
P18031	NA	blue
P18054	NA	blue
P18206	NA	blue
P18669	NA	blue
P20742	NA	blue
P22392	NA	blue
P22694	NA	blue
P25705	NA	blue
P26639	NA	blue
P28062	NA	blue
P28070	NA	blue
P28482	NA	blue
P28838	NA	blue
P29218	NA	blue
P29375	NA	blue
P30085	NA	blue
P31321	NA	blue
P31323	NA	blue
P31641	NA	blue
P31939	NA	blue
P31947	NA	blue
P31948	NA	blue
P33527	NA	blue
P33993	NA	blue
P35030	NA	blue
P35237	NA	blue
P35556	NA	blue
P36955	NA	blue
P36969	NA	blue
P37802	NA	blue
P37840	NA	blue
P41250	NA	blue
P43251	NA	blue
P45974	NA	blue
P48637	NA	blue
P49588	NA	blue
P49747	NA	blue
P50148	NA	blue
