nodeName	altName	nodeAttr[nodesPresent, ]
A0A075B6I0	NA	turquoise
A0A075B6K4	NA	turquoise
A0A087WW87
P01614	NA	turquoise
A0A0A0MT36	NA	turquoise
A0A0B4J1Y9	NA	turquoise
A0A0B4J2D9
P0DP09	NA	turquoise
A0A0C4DH25	NA	turquoise
A0A0C4DH67	NA	turquoise
A0M8Q6	NA	green
A6ND91	NA	turquoise
B2RUZ4	NA	turquoise
O00139	NA	green
O00161	NA	turquoise
O00186	NA	turquoise
O00264	NA	turquoise
O00429	NA	green
O00501	NA	turquoise
O00560	NA	turquoise
O00592	NA	turquoise
O14672	NA	turquoise
O14745	NA	turquoise
O14773	NA	turquoise
O14817	NA	turquoise
O14818	NA	turquoise
O14964	NA	turquoise
O15117	NA	turquoise
O15143	NA	turquoise
O15162	NA	turquoise
O15173	NA	turquoise
O15400	NA	turquoise
O15427	NA	turquoise
O15511	NA	turquoise
O15551	NA	turquoise
O43306	NA	turquoise
O43312	NA	turquoise
O43488	NA	turquoise
O43493	NA	turquoise
O43561	NA	turquoise
O43633	NA	turquoise
O43639	NA	turquoise
O43665	NA	turquoise
O43866	NA	turquoise
O60234	NA	turquoise
O60493	NA	turquoise
O60496	NA	turquoise
O60610	NA	green
O60669	NA	turquoise
O75015	NA	turquoise
O75131	NA	turquoise
O75326	NA	turquoise
O75369	NA	turquoise
O75410	NA	turquoise
O75563	NA	turquoise
O75636	NA	green
O75695	NA	turquoise
O75915	NA	green
O75955	NA	turquoise
O94886	NA	turquoise
O95379	NA	green
O95497	NA	turquoise
O95721	NA	turquoise
O95772	NA	turquoise
O95816	NA	turquoise
O95865	NA	green
P00738	NA	green
P00747	NA	green
P00915	NA	turquoise
P01008	NA	green
P01009	NA	green
P01011	NA	green
P01031	NA	green
P01040	NA	turquoise
P01111	NA	turquoise
P01137	NA	turquoise
P01591	NA	turquoise
P01619	NA	turquoise
P01700	NA	green
P01768
P0DP03	NA	turquoise
P01780	NA	turquoise
P01782	NA	turquoise
P01860	NA	green
P01861	NA	green
P01871	NA	turquoise
P01889	NA	turquoise
P02042	NA	turquoise
P02452	NA	turquoise
P02458	NA	turquoise
P02461	NA	turquoise
P02462	NA	turquoise
P02533	NA	turquoise
P02538	NA	turquoise
P02671	NA	green
P02730	NA	turquoise
P02745	NA	green
P02746	NA	green
P02760	NA	green
P02765	NA	green
P02766	NA	green
P02786	NA	turquoise
P02788	NA	turquoise
P02790	NA	green
P02794	NA	turquoise
P04004	NA	green
P04040	NA	green
P04083	NA	turquoise
P04114	NA	turquoise
P04234	NA	turquoise
P04259	NA	turquoise
P04275	NA	turquoise
P04278	NA	turquoise
P04839	NA	turquoise
P04843	NA	turquoise
P04899	NA	turquoise
P04921	NA	turquoise
P05107	NA	turquoise
P05109	NA	turquoise
P05452	NA	green
P05546	NA	turquoise
P05771	NA	green
P06127	NA	turquoise
P06239	NA	turquoise
P06312	NA	turquoise
P06331	NA	turquoise
P06454	NA	turquoise
P06576	NA	turquoise
P06702	NA	turquoise
P06744	NA	green
P07339	NA	turquoise
P07355	NA	turquoise
P07357	NA	green
P07384	NA	turquoise
P07477	NA	turquoise
P07766	NA	turquoise
