nodeName	altName	nodeAttr[nodesPresent, ]
A0A075B6I0	NA	turquoise
A0A075B6K4	NA	turquoise
A0A087WW87
P01614	NA	turquoise
A0A0A0MRZ8	NA	blue
A0A0A0MT36	NA	turquoise
A0A0B4J1Y9	NA	turquoise
A0A0B4J2D9
P0DP09	NA	turquoise
A0A0C4DH25	NA	turquoise
A0A0C4DH67	NA	turquoise
A6ND91	NA	turquoise
A6NEC2	NA	blue
B0I1T2	NA	blue
B2RUZ4	NA	turquoise
O00151	NA	blue
O00161	NA	turquoise
O00186	NA	turquoise
O00194	NA	blue
O00264	NA	turquoise
O00501	NA	turquoise
O00592	NA	turquoise
O14618	NA	blue
O14672	NA	blue
O14773	NA	turquoise
O14775	NA	blue
O14817	NA	turquoise
O14818	NA	blue
O14964	NA	turquoise
O15031	NA	blue
O15117	NA	turquoise
O15143	NA	turquoise
O15144	NA	blue
O15162	NA	turquoise
O15173	NA	turquoise
O15400	NA	turquoise
O15551	NA	turquoise
O43150	NA	blue
O43306	NA	turquoise
O43312	NA	turquoise
O43488	NA	turquoise
O43493	NA	turquoise
O43561	NA	turquoise
O43633	NA	turquoise
O43639	NA	turquoise
O43665	NA	turquoise
O43707	NA	blue
O43866	NA	turquoise
O60229	NA	blue
O60234	NA	turquoise
O60493	NA	turquoise
O60496	NA	turquoise
O60669	NA	blue
O60763	NA	blue
O75015	NA	turquoise
O75083	NA	blue
O75116	NA	blue
O75131	NA	turquoise
O75326	NA	turquoise
O75368	NA	blue
O75390	NA	blue
O75410	NA	turquoise
O75558	NA	blue
O75563	NA	turquoise
O75608	NA	blue
O75695	NA	turquoise
O75874	NA	blue
O75954	NA	blue
O75955	NA	turquoise
O76074	NA	blue
O94886	NA	turquoise
O94919	NA	blue
O95497	NA	turquoise
O95498	NA	turquoise
O95721	NA	turquoise
O95772	NA	turquoise
O95816	NA	turquoise
O95834	NA	blue
O95858	NA	blue
O95989	NA	blue
P00338	NA	blue
P00387	NA	blue
P00390	NA	blue
P00488	NA	blue
P00491	NA	blue
P00558	NA	blue
P00915	NA	turquoise
P01024	NA	blue
P01040	NA	turquoise
P01111	NA	turquoise
P01116	NA	blue
P01137	NA	turquoise
P01591	NA	turquoise
P01619	NA	turquoise
P01768
P0DP03	NA	turquoise
P01780	NA	turquoise
P01782	NA	turquoise
P01834	NA	blue
P01871	NA	turquoise
P01876	NA	blue
P01889	NA	turquoise
P01893	NA	blue
P02042	NA	turquoise
P02452	NA	turquoise
P02458	NA	turquoise
P02461	NA	turquoise
P02462	NA	turquoise
P02533	NA	turquoise
P02538	NA	turquoise
P02730	NA	turquoise
P02748	NA	blue
P02751	NA	blue
P02775	NA	blue
P02786	NA	turquoise
P02788	NA	turquoise
P02794	NA	turquoise
P04075	NA	blue
P04083	NA	turquoise
P04114	NA	turquoise
P04234	NA	turquoise
P04259	NA	turquoise
P04264	NA	turquoise
P04275	NA	turquoise
P04278	NA	turquoise
P04406	NA	blue
P04439	NA	blue
P04632	NA	blue
P04839	NA	turquoise
P04843	NA	turquoise
P04899	NA	turquoise
P04921	NA	turquoise
P05023	NA	blue
P05106	NA	blue
P05107	NA	turquoise
P05109	NA	turquoise
