fromNode	toNode	weight	direction	fromAltName	toAltName
A0A075B6I0	A0A075B6K4	0.0346943825614556	undirected	NA	NA
A0A075B6I0	A0A075B6R9	0.285877569230036	undirected	NA	NA
A0A075B6I0	A0A087WW87
P01614	0.108658973754639	undirected	NA	NA
A0A075B6I0	A0A0B4J1U7	0.0831972484121066	undirected	NA	NA
A0A075B6I0	A0A0B4J1X5	0.0241932329253963	undirected	NA	NA
A0A075B6I0	A0A0C4DH67	0.0430741530773215	undirected	NA	NA
A0A075B6I0	A6ND91	0.100518659111061	undirected	NA	NA
A0A075B6I0	O00264	0.0657384966171272	undirected	NA	NA
A0A075B6I0	O00592	0.163640742808406	undirected	NA	NA
A0A075B6I0	O14817	0.2925062137336	undirected	NA	NA
A0A075B6I0	O15551	0.0311786275742567	undirected	NA	NA
A0A075B6I0	O75131	0.129974951145786	undirected	NA	NA
A0A075B6I0	O75326	0.0509655721984038	undirected	NA	NA
A0A075B6I0	O75955	0.0690897490436931	undirected	NA	NA
A0A075B6I0	O94886	0.0633089259858151	undirected	NA	NA
A0A075B6I0	O95772	0.0672810625306275	undirected	NA	NA
A0A075B6I0	O95816	0.0908465582379739	undirected	NA	NA
A0A075B6I0	O95865	0.0455345937071738	undirected	NA	NA
A0A075B6I0	P00915	0.212264960935505	undirected	NA	NA
A0A075B6I0	P01040	0.254441254530898	undirected	NA	NA
A0A075B6I0	P01591	0.21969611542913	undirected	NA	NA
A0A075B6I0	P01709	0.0993789477196572	undirected	NA	NA
A0A075B6I0	P01780	0.283608978724476	undirected	NA	NA
A0A075B6I0	P01782	0.179835544582347	undirected	NA	NA
A0A075B6I0	P02462	0.0412392343906547	undirected	NA	NA
A0A075B6I0	P04234	0.295248717635606	undirected	NA	NA
A0A075B6I0	P04275	0.0219418805194931	undirected	NA	NA
A0A075B6I0	P04839	0.0767518501446004	undirected	NA	NA
A0A075B6I0	P04921	0.026029896179645	undirected	NA	NA
A0A075B6I0	P05107	0.0532299324892725	undirected	NA	NA
A0A075B6I0	P06312	0.262128032554492	undirected	NA	NA
A0A075B6I0	P06331	0.402356159549038	undirected	NA	NA
A0A075B6I0	P06454	0.352138666307509	undirected	NA	NA
A0A075B6I0	P07339	0.0549485756921644	undirected	NA	NA
A0A075B6I0	P07355	0.0762346249597438	undirected	NA	NA
A0A075B6I0	P08133	0.190349900898332	undirected	NA	NA
A0A075B6I0	P08519	0.0262683858523619	undirected	NA	NA
A0A075B6I0	P08962	0.147925357506729	undirected	NA	NA
A0A075B6I0	P09326	0.204069985375565	undirected	NA	NA
A0A075B6I0	P0C0L5	0.127462625761017	undirected	NA	NA
A0A075B6I0	P0DOX7	0.106390089875117	undirected	NA	NA
A0A075B6I0	P10124	0.0946199728080298	undirected	NA	NA
A0A075B6I0	P11166	0.0600672506395094	undirected	NA	NA
A0A075B6I0	P11279	0.0437604698389611	undirected	NA	NA
A0A075B6I0	P13612	0.165275898693505	undirected	NA	NA
A0A075B6I0	P13796	0.0381863692359454	undirected	NA	NA
A0A075B6I0	P13987	0.123195848831134	undirected	NA	NA
A0A075B6I0	P14209	0.020799951980746	undirected	NA	NA
A0A075B6I0	P14923	0.20624942490965	undirected	NA	NA
A0A075B6I0	P15144	0.0270331176028221	undirected	NA	NA
A0A075B6I0	P15311	0.0413529996616105	undirected	NA	NA
A0A075B6I0	P15924	0.0881635596230782	undirected	NA	NA
A0A075B6I0	P16070	0.0530967452950495	undirected	NA	NA
A0A075B6I0	P16402	0.169232833909694	undirected	NA	NA
A0A075B6I0	P17213	0.354174906408706	undirected	NA	NA
A0A075B6I0	P17927	0.0538605692112806	undirected	NA	NA
A0A075B6I0	P18428	0.0345444449401703	undirected	NA	NA
