nodeName	altName	nodeAttr[nodesPresent, ]
A0A075B6I0	NA	yellow
A0A075B6I9	NA	pink
A0A075B6K4	NA	yellow
A0A075B6R9	NA	yellow
A0A087WW87
P01614	NA	yellow
A0A0A0MRZ8	NA	turquoise
A0A0A0MT36	NA	brown
A0A0B4J1U7	NA	yellow
A0A0B4J1X5	NA	turquoise
A0A0B4J1Y9	NA	blue
A0A0B4J2D9
P0DP09	NA	brown
A0A0C4DH25	NA	red
A0A0C4DH67	NA	green
A0A0C4DH72	NA	red
A0M8Q6	NA	red
A1L4H1	NA	green
A4D2P6	NA	green
A6ND91	NA	yellow
A6NEC2	NA	red
A7E2Y1	NA	turquoise
B0I1T2	NA	brown
B2RTY4	NA	black
B2RUZ4	NA	green
M0R2J8	NA	green
O00139	NA	pink
O00151	NA	brown
O00161	NA	turquoise
O00186	NA	turquoise
O00187	NA	black
O00194	NA	blue
O00264	NA	blue
O00299	NA	brown
O00391	NA	green
O00429	NA	brown
O00501	NA	green
O00560	NA	green
O00592	NA	yellow
O14618	NA	turquoise
O14672	NA	blue
O14686	NA	black
O14745	NA	blue
O14773	NA	green
O14775	NA	turquoise
O14791	NA	green
O14817	NA	yellow
O14818	NA	turquoise
O14950	NA	brown
O14964	NA	brown
O15031	NA	yellow
O15117	NA	blue
O15143	NA	blue
O15144	NA	turquoise
O15145	NA	brown
O15162	NA	blue
O15389	NA	blue
O15400	NA	green
O15427	NA	turquoise
O15439	NA	turquoise
O15511	NA	turquoise
O15551	NA	blue
O43150	NA	pink
O43242	NA	turquoise
O43294	NA	green
O43306	NA	black
O43312	NA	turquoise
O43396	NA	turquoise
O43488	NA	brown
O43493	NA	brown
O43561	NA	turquoise
O43633	NA	blue
O43639	NA	turquoise
O43665	NA	black
O43707	NA	turquoise
O43866	NA	green
O60229	NA	red
O60234	NA	red
O60268	NA	turquoise
O60496	NA	turquoise
O60610	NA	turquoise
O60669	NA	blue
O60763	NA	turquoise
O75015	NA	brown
O75083	NA	turquoise
O75116	NA	magenta
O75131	NA	blue
O75326	NA	yellow
O75351	NA	brown
O75368	NA	turquoise
O75369	NA	turquoise
O75390	NA	turquoise
O75410	NA	blue
O75558	NA	turquoise
O75563	NA	red
O75608	NA	turquoise
O75636	NA	pink
O75695	NA	blue
O75844	NA	blue
O75874	NA	turquoise
O75915	NA	turquoise
O75954	NA	red
O75955	NA	yellow
O76074	NA	turquoise
O94804	NA	green
O94886	NA	blue
O94919	NA	turquoise
O95336	NA	brown
O95445	NA	brown
O95497	NA	blue
O95498	NA	brown
O95674	NA	blue
O95714	NA	magenta
O95721	NA	turquoise
O95772	NA	yellow
O95810	NA	turquoise
O95816	NA	yellow
O95834	NA	turquoise
O95858	NA	turquoise
O95865	NA	magenta
O95866	NA	turquoise
O95989	NA	turquoise
P00338	NA	turquoise
P00387	NA	turquoise
P00390	NA	turquoise
P00450	NA	yellow
P00488	NA	turquoise
P00491	NA	turquoise
P00558	NA	brown
P00568	NA	brown
P00734	NA	blue
P00736	NA	blue
P00738	NA	grey
P00739	NA	green
P00740	NA	brown
P00742	NA	black
P00746	NA	brown
P00747	NA	blue
P00748	NA	blue
P00751	NA	blue
P00915	NA	yellow
P00918	NA	red
P01008	NA	pink
P01009	NA	blue
P01011	NA	magenta
P01019	NA	brown
P01023	NA	blue
P01024	NA	blue
P01031	NA	blue
P01040	NA	yellow
P01042	NA	magenta
P01116	NA	turquoise
P01137	NA	green
P01591	NA	yellow
P01599	NA	black
P01619	NA	turquoise
P01624	NA	turquoise
P01700	NA	brown
P01709	NA	yellow
